Run	Barcode	Sample_ID	Dataset	Notes
ONT_mockecoli2_adapdet2	barcode07	MCE3G_adap2	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockskinpw1_staphadapdet1	barcode07	MCE3G_adap3	ONT_mock_clinicecoli_staphadapdet 	
ONT_mockskinpw1_cont1	barcode07	MCE3G_cont	ONT_mock_clinicecoli	
ONT_mockecoli2_cont1	barcode07	MCE3G_cont1	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_cont2	barcode07	MCE3G_cont2	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockskinpw1_alladapdet1	barcode08	MCE4F_adap	ONT_mock_staphepi_alladapdet	
ONT_mockskinpw1_staphadapdet1	barcode08	MCE4F_adap1	ONT_mock_staphepi_staphadapdet	
ONT_mockstaphepiecoli1_adapdet1	barcode08	MCE4F_adap2	ONT_mock_staphepi_staphadapdet	
ONT_mockskinpw1_cont1	barcode08	MCE4F_cont	ONT_mock_staphepi	
ONT_mockecoli1_cont1	barcode08	MCE4F_cont1	ONT_mock_staphepi_staphadapdet	
ONT_mockecoli2_adapdet1	barcode08	MCE4G_adap1	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_adapdet2	barcode08	MCE4G_adap2	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_cont1	barcode08	MCE4G_cont1	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_cont2	barcode08	MCE4G_cont2	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockstaph1_adapdet1	barcode05	MCS1G_adap1	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_adapdet2	barcode05	MCS1G_adap2	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_cont1	barcode05	MCS1G_cont1	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_cont2	barcode05	MCS1G_cont2	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_adapdet1	barcode06	MCS2G_adap1	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_adapdet2	barcode06	MCS2G_adap2	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_cont1	barcode06	MCS2G_cont1	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_cont2	barcode06	MCS2G_cont2	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_adapdet1	barcode07	MCS3G_adap1	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_adapdet2	barcode07	MCS3G_adap2	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_cont1	barcode07	MCS3G_cont1	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_cont2	barcode07	MCS3G_cont2	ONT_mock_clinicstaph_staphadapdet	
